10001,Abbotsbury,4199,1091,,7451,10,91,,NSW,2244,9,88,1059,1130,0%
10002,Abbotsford (NSW),5110,1075,,7080,9,86,,NSW,2129,9,84,859,1166,0%
10003,Abercrombie,1005,1057,,6490,8,79,,NSW,1929,8,76,1012,1084,0%
10004,Aberdare,2415,890,,895,2,11,,NSW,266,2,11,858,945,0%
10005,Aberdeen (NSW),2041,945,,2172,3,27,,NSW,688,3,27,882,1019,0%
10006,Aberfoyle,232,1043,,6050,8,74,,NSW,1810,8,71,1043,1043,0%
10007,Aberglasslyn,2858,1057,,6514,8,79,,NSW,1935,8,76,1029,1091,0%
10008,Abermain,2322,897,,1015,2,13,,NSW,305,2,12,855,1047,1%
10009,Abernethy,219,898,,1041,2,13,,NSW,313,2,13,898,898,0%
10010,Acacia Gardens,3682,1117,,7869,10,96,,NSW,2386,10,94,1085,1164,0%
10011,Adaminaby,228,949,,2290,3,28,,NSW,725,3,29,949,949,0%
10012,Adamstown,5646,1010,,4643,6,57,,NSW,1425,6,56,937,1166,0%
10013,Adamstown Heights,5162,1071,,6961,9,85,,NSW,2090,9,82,1039,1122,0%
10014,Adelong,884,911,,1284,2,16,,NSW,397,2,16,889,932,0%
10015,Agnes Banks,831,1035,,5736,7,70,,NSW,1734,7,68,1032,1038,0%
10016,Airds,3500,622,,71,1,1,,NSW,7,1,1,539,740,0%
10017,Akolele,131,601,,60,1,1,,NSW,6,1,1,601,601,0%
10018,Albion Park,12862,1009,,4619,6,56,,NSW,1418,6,56,910,1088,0%
10019,Albion Park Rail,6996,922,,1530,2,19,,NSW,481,2,19,811,1015,0%
10020,Albury,4944,1017,,4953,7,61,,NSW,1522,6,60,902,1092,0%
10021,Aldavilla,1154,950,,2351,3,29,,NSW,741,3,29,911,974,41%
10022,Alexandria,7050,1117,,7868,10,96,,NSW,2385,10,94,1017,1157,0%
10023,Alfords Point,3307,1136,,8062,10,98,,NSW,2461,10,96,1120,1167,0%
10024,Alison (Dungog - NSW),291,1027,,5422,7,66,,NSW,1643,7,65,1027,1027,0%
10025,Allambie Heights,6727,1090,,7439,10,91,,NSW,2240,9,88,740,1148,0%
10026,Allandale (NSW),306,1018,,5030,7,61,,NSW,1544,7,61,1018,1018,0%
10027,Allawah,5362,998,,4143,6,51,,NSW,1272,5,50,949,1072,0%
10028,Allgomera,150,890,,892,2,11,,NSW,264,2,11,890,890,0%
10029,Allworth,196,920,,1478,2,18,,NSW,461,2,18,920,920,0%
10030,Allynbrook,218,996,,4041,5,49,,NSW,1249,5,49,996,996,0%
10031,Alstonvale,426,1068,,6856,9,84,,NSW,2055,9,81,1068,1068,0%
10032,Alstonville,5642,981,,3419,5,42,,NSW,1054,5,42,881,1079,0%
10033,Alumy Creek,154,1027,,5424,7,66,,NSW,1644,7,65,1027,1027,0%
10034,Ambarvale,7227,904,,1136,2,14,,NSW,353,2,14,575,1009,0%
10035,Angledale,276,1024,,5271,7,64,,NSW,1607,7,63,1024,1024,0%
10036,Anglers Reach,357,1024,,5254,7,64,,NSW,1602,7,63,1024,1024,0%
10037,Angourie,184,993,,3932,5,48,,NSW,1214,5,48,993,993,0%
10038,Anna Bay,3725,959,,2619,4,32,,NSW,814,4,32,872,1031,0%
10039,Annandale (NSW),8665,1108,,7747,10,94,,NSW,2333,10,91,1030,1148,0%
10040,Annangrove,1364,1136,,8064,10,98,,NSW,2463,10,97,1102,1163,0%
10041,Appin (NSW),1801,1033,,5645,7,69,,NSW,1706,7,67,1024,1037,0%
10042,Apsley (NSW),56,755,,179,1,3,,NSW,19,1,1,755,755,0%
10043,Arakoon,509,1027,,5409,7,66,,NSW,1640,7,64,1013,1034,0%
10044,Araluen (NSW),296,985,,3592,5,44,,NSW,1108,5,44,985,985,0%
10045,Arcadia (NSW),1305,1109,,7769,10,95,,NSW,2340,10,92,1076,1124,0%
10046,Arcadia Vale,1382,998,,4148,6,51,,NSW,1274,5,50,978,1016,0%
10047,Arding,279,1060,,6602,9,81,,NSW,1969,8,77,1060,1060,0%
10048,Ardlethan,365,836,,390,1,5,,NSW,87,1,4,836,836,0%
10049,Argenton,1370,858,,546,1,7,,NSW,140,1,6,847,866,0%
10050,Argents Hill,388,890,,905,2,11,,NSW,271,2,11,890,890,0%
10051,Ariah Park,689,950,,2348,3,29,,NSW,739,3,29,834,1025,0%
10052,Armatree,281,1037,,5794,8,71,,NSW,1747,7,69,1037,1037,0%
10053,Armidale,22487,981,,3415,5,42,,NSW,1051,5,41,727,1120,4%
10054,Arncliffe,8419,966,,2867,4,35,,NSW,902,4,36,864,1041,0%
10056,Arrawarra,518,893,,951,2,12,,NSW,286,2,12,893,893,0%
10057,Arrawarra Headland,468,992,,3888,5,48,,NSW,1198,5,47,992,992,0%
10058,Artarmon,8626,1095,,7535,10,92,,NSW,2266,9,89,723,1186,0%
10059,Ashbury,3127,1067,,6818,9,83,,NSW,2044,8,80,1044,1084,0%
10060,Ashby (NSW),348,995,,4009,5,49,,NSW,1240,5,49,995,995,0%
10061,Ashby Heights,289,887,,846,2,11,,NSW,245,1,10,887,887,0%
10062,Ashcroft,3306,763,,189,1,3,,NSW,26,1,2,561,798,0%
10063,Ashfield (NSW),22183,1009,,4595,6,56,,NSW,1411,6,56,931,1095,0%
10064,Ashford (NSW),881,837,,392,1,5,,NSW,89,1,4,734,941,0%
10065,Ashley,340,936,,1932,3,24,,NSW,611,3,24,936,936,0%
10066,Ashmont,4026,818,,319,1,4,,NSW,66,1,3,586,1010,0%
10067,Ashtonfield,4382,1069,,6893,9,84,,NSW,2069,9,81,974,1126,0%
10068,Asquith,3483,1072,,6995,9,85,,NSW,2098,9,82,1029,1118,0%
10069,Attunga,766,978,,3309,5,41,,NSW,1027,5,41,893,1045,0%
10070,Auburn (NSW),33109,888,,860,2,11,,NSW,250,1,10,759,1067,0%
10071,Austinmer,2469,1106,,7714,10,94,,NSW,2322,10,91,1082,1138,0%
10072,Austral,3026,969,,2955,4,36,,NSW,927,4,37,936,986,0%
10073,Avalon (NSW),10614,1118,,7885,10,96,,NSW,2394,10,94,1032,1174,0%
10074,Avoca Beach,4317,1082,,7253,9,88,,NSW,2179,9,85,1005,1117,0%
10075,Awaba,359,956,,2521,4,31,,NSW,791,4,31,956,956,2%
10076,Aylmerton,248,1024,,5275,7,64,,NSW,1608,7,63,1024,1024,0%
10077,Baan Baa,523,1021,,5136,7,63,,NSW,1571,7,62,1021,1021,0%
10078,Backmede,274,963,,2757,4,34,,NSW,867,4,34,963,963,0%
10079,Badgerys Creek,454,913,,1342,2,17,,NSW,415,2,17,913,913,0%
10080,Balaclava (NSW),418,998,,4153,6,51,,NSW,1275,5,50,998,998,0%
10081,Balala,319,982,,3482,5,43,,NSW,1075,5,42,982,982,0%
10082,Balcolyn,826,980,,3382,5,41,,NSW,1045,5,41,947,1024,0%
10083,Bald Hills (NSW),291,1036,,5780,8,71,,NSW,1745,7,69,1036,1036,0%
10084,Balgowlah,7495,1109,,7762,10,95,,NSW,2337,10,92,1048,1159,0%
